dir_X [deg],dir_Y [deg],normalized_mirror_response [1]
0.218478,-0.276739,1.19418e-07
-0.116522,-0.0558333,0
0.0315579,0.0145652,0
0.118949,-0.0436956,0
0.201485,-0.233043,1.43146e-07
0.111667,-0.036413,0
0.228188,-0.264601,0
0.111667,-0.0412681,0
0.189348,-0.101956,0
0.230616,-0.128659,0
0.143225,-0.0825362,2.66444e-08
0.191775,-0.0995289,0
0.235471,-0.128659,0
-0.123804,-0.067971,0
0.233043,-0.131087,0
0.271884,-0.162645,0
0.276739,-0.160217,0
0.310724,-0.18692,1.80081e-07
0.318007,-0.18692,2.04044e-07
0.0995289,-0.0121377,0
0.111667,-0.0072826,0
-0.131087,-0.0752536,0
0.0946738,0,1.52623e-08
0.0898188,0.0242753,1.65093e-08
0.201485,-0.0145652,3.54433e-08
0.223333,-0.0315579,1.68613e-08
0.318007,-0.0655434,7.73143e-07
0.330145,-0.0631159,2.71587e-06
0.269456,-0.0485507,6.91649e-08
0.267029,-0.0485507,7.80967e-08
0.0849637,0.0169927,1.54402e-08
0.361703,-0.067971,2.50881e-07
0.106811,0.0242753,0
0.111667,0.0291304,0
0.116522,0.0218478,0
-0.135942,-0.0752536,1.56608e-07
0.19663,0.0339855,1.4368e-07
0.194203,0.0315579,2.03037e-07
0.305869,0.0291304,1.9582e-07
0.211195,0.0315579,1.5808e-07
0.118949,0.0267029,1.80097e-07
-0.211195,-0.0971014,1.28845e-07
0.301014,0.0315579,1.24771e-07
0.0655434,0.0291304,0
0.293732,0.036413,1.74615e-07
0.315579,0.0412681,1.57763e-07
0.388405,0.0436956,0
0.131087,0.0461231,0
0.067971,0.0291304,0
0.131087,0.0534057,0
0.247608,0.0995289,1.81369e-07
0.131087,0.0655434,1.04418e-07
0.322862,0.14808,1.39176e-07
-0.225761,-0.116522,1.53904e-07
0.320434,0.160217,1.47267e-07
0.223333,0.101956,1.58637e-07
0.235471,0.116522,1.12069e-07
0.330145,0.165072,0
0.067971,0.0412681,0
0.0752536,0.104384,0
0.101956,0.0873912,0
0.140797,0.111667,0
0.155362,0.155362,1.79591e-07
0.0898188,0.0752536,0
0.0946738,0.0801086,0
0.14808,0.118949,5.02983e-08
0.162645,0.155362,1.353e-07
0.220906,0.20634,1.33948e-07
0.288877,0.240326,1.41087e-07
0.296159,0.267029,1.27216e-07
-0.301014,-0.140797,1.8734e-07
0.0485507,0.0655434,0
0.0582608,0.106811,2.74006e-08
0.0631159,0.0971014,4.2906e-07
0.230616,0.218478,1.5511e-07
0.067971,0.106811,6.67265e-08
0.072826,0.101956,4.57449e-07
0.0825362,0.14808,4.13949e-07
-0.313152,-0.15779,1.70474e-07
0.123804,0.194203,1.57089e-07
0.150507,0.269456,1.7282e-07
0.138369,0.298587,1.34599e-07
0.109239,0.203913,1.7137e-07
0.131087,0.242753,1.19965e-07
0.155362,0.284021,1.39683e-07
0.18692,0.332572,1.36588e-07
0.0534057,0.118949,6.34097e-08
0.0388405,0.101956,0
-0.398116,-0.17721,1.44942e-07
0.0412681,0.223333,1.22622e-07
0.0412681,0.067971,3.99461e-09
0.0412681,0.165072,1.82779e-07
0.0388405,0.145652,5.98813e-08
0.0509782,0.271884,1.679e-07
0.0534057,0.257319,1.69245e-07
0.0461231,0.213623,1.87024e-07
0.0558333,0.310724,1.78742e-07
-0.00971014,0.0849637,1.45837e-08
0.0534057,0.308297,1.40154e-07
0.00971014,0.0898188,0
0.00242753,0.111667,0
0.0582608,0.349565,1.24217e-07
0.0242753,-0.0703985,2.24275e-06
0.0072826,0.138369,9.45589e-08
-0.00242753,0.155362,1.77322e-07
-0.0291304,0.254891,1.78817e-07
-0.0388405,0.259746,1.49042e-07
-0.0315579,0.213623,1.8197e-07
0.0315579,0.0121377,0
-0.0582608,0.301014,1.68111e-07
-0.0631159,0.303442,1.28756e-07
-0.00242753,-0.0145652,3.40466e-06
-0.0509782,0.361703,2.00681e-07
-0.0267029,-0.0242753,5.43835e-08
-0.0194203,0.0655434,0
-0.00971014,0.0655434,0
-0.0922463,0.140797,0
-0.0703985,0.160217,1.67624e-07
-0.140797,0.247608,1.57707e-07
-0.067971,0.179638,1.34395e-07
-0.0752536,0.138369,0
-0.138369,0.228188,1.04511e-07
8.91832e-19,-0.0145652,1.55751e-06
-0.131087,0.262174,1.32341e-07
-0.179638,0.279166,1.47603e-07
